Designator,Footprint,Quantity,Value,LCSC Part #
"_4, _3, _2, ",,4,,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D7, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90",LED_WS2812B-2020_PLCC4_2.0x2.0mm,80,WS2812B,
J1,HEE70LP03BK,1,Conn_02x35_Top_Bottom,
J11,Breadboard_CustomClips_CorrectPins_1,1,Connector_Breadboard,
JP1,SolderJumper_2_Bridged_Small,1,POS_TOP_BOTTOM,
JP2,SolderJumper_2_Bridged_Small,1,NEG_TOP_BOTTOM,
TP15,PinHeader_1x01_P2.54mm_Vertical_Rounded,1,LED DOUT,
TP16,PinHeader_1x01_P2.54mm_Vertical_Rounded,1,LED DIN,
"TP20, TP23",PinHeader_1x01_P2.54mm_Vertical_Rounded,2,LED GND,
"TP21, TP22",PinHeader_1x01_P2.54mm_Vertical_Rounded,2,LED 5V,
TP24,Pad_Clip_Banana_PlusSmaller,1,TOP_POS_RAIL,
TP25,PinHeader_1x01_P2.54mm_Vertical_Rounded,1,TOP_POS_RAIL,
TP26,Pad_Clip_Banana_Minus,1,TOP_NEG_RAIL,
TP27,PinHeader_1x01_P2.54mm_Vertical_Rounded,1,TOP_NEG_RAIL,
TP29,PinHeader_1x01_P2.54mm_Vertical_Rounded,1,BOTTOM_POS_RAIL,
TP31,PinHeader_1x01_P2.54mm_Vertical_Rounded,1,BOTTOM_NEG_RAIL,
