Designator,Mid X,Mid Y,Rotation,Layer
J1_4,184.3532,-92.070023,0.0,top
J1_3,204.5462,-74.163023,0.0,top
J1_2,101.7524,-92.07,0.0,top
J1,121.9454,-74.163,0.0,top
J12_2,225.6282,-90.393623,0.0,top
J12,143.0274,-90.3936,0.0,top
J13_2,143.0782,-90.292023,0.0,top
J13,60.4774,-90.292,0.0,top
J2_2,206.0702,-74.163023,0.0,top
J2,123.4694,-74.163,0.0,top
J3_2,164.1602,-74.163023,0.0,top
J3,81.5594,-74.163,0.0,top
J4_2,162.6362,-74.163023,0.0,top
J4,80.0354,-74.163,0.0,top
J5_2,184.3532,-74.163023,0.0,top
J5,101.7524,-74.163,0.0,top
J6_2,219.7862,-148.077023,0.0,top
J6,137.1854,-148.077,0.0,top
U1_2,209.7532,-81.402023,0.0,top
U1,127.1524,-81.402,0.0,top
U2_2,101.7524,-64.897,0.0,top
U2,184.3532,-64.897023,0.0,top
U3_2,214.8332,-56.510023,0.0,top
U3,132.2324,-56.51,0.0,top
