Designator,Footprint,Quantity,Value,LCSC Part #
"_166, _165, _164, _163, _162, _161, _160, _159, _158, _157, _156, _155, _154, _153, _152, _151, _150, _149, _148, _147, _146, _145, _144, _143, _142, _141, _140, _139, _138, _137, _136, _135, _134, _133, _132, _131, _130, _129, _128, _127, _126, _125, _124, _123, _122, _121, _120, _119, _118, _117, _116, _115, _114, _113, _112, _111, _110, _109, _108, _107, _106, _105, _104, _103, _102, _101, _100, _99, _98, _97, _96, _95, _94, _93, _92, _91, _90, _89, _88, _87, _86, _85, _84, _83, _82, _81, _80, _79, _78, _77, _76, _75, _74, _73, _72, _71, _70, _69, _68, _67, _66, _65, _64, _63, _62, _61, _60, _59, _58, _57, _56, _55, _54, _53, _52, _51, _50, _49, _48, _47, _46, _45, _44, _43, _42, _41, _40, _39, _38, _37, _36, _35, _34, _33, _32, _31, _30, _29, _28, _27, _26, _25, _24, _23, _22, _21, _20, _19, _18, _17, _16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,166,,
"J1_2, J2, J3, J4, J5",PinHeader_1x1_Smallest,5,Conn_01x01,
J1,HEE70LP03BK_NumberedPads_CardGuide,1,Conn_01x01,
J12_2,TQFP_12-56-0.5mm_pitch,1,Conn_02x32_Top_Bottom,
J12,SideConnect_short_right_Drawing,1,Conn_02x32_Top_Bottom,
J13_2,TQFP_32-64_0.8mm_ROTATE,1,Conn_02x32_Top_Bottom,
J13,SideConnect_short_left_Drawing,1,Conn_02x32_Top_Bottom,
J14,QFN-44-56_0.4mm,1,Conn_02x32_Top_Bottom,
J15,SO UNIVERSAL,1,Conn_02x30_Top_Bottom,
J16,TQFP_12-48_0.65mm_ALT,1,Conn_02x32_Top_Bottom,
"J17, J18",Conn_1x30_breadboard_single,2,Conn_01x30,
J6,SideConnect_sparserrr_Bottom_drawing,1,Conn_01x01,
U1,HEE70LP03BK_CardSide,1,~,
U3,SideConnect_sparserrr_Top,1,~,
