Designator,Mid X,Mid Y,Rotation,Layer
_166,237.126532,-46.465321,0.0,top
_165,237.126532,-48.370321,0.0,top
_164,232.046532,-46.465321,0.0,top
_163,232.046532,-48.370321,0.0,top
_162,234.586532,-46.465321,0.0,top
_161,234.586532,-48.370321,0.0,top
_160,229.506532,-48.370321,0.0,top
_159,229.506532,-46.465321,0.0,top
_158,239.666532,-54.085321,0.0,top
_157,239.666532,-55.990321,0.0,top
_156,239.666532,-46.465321,0.0,top
_155,239.666532,-48.370321,0.0,top
_154,239.666532,-52.180321,0.0,top
_153,239.666532,-50.275321,0.0,top
_152,211.726532,-55.990321,0.0,top
_151,211.726532,-46.465321,0.0,top
_150,194.022732,-40.674121,0.0,top
_149,204.106532,-40.750321,0.0,top
_148,204.106532,-61.705321,0.0,top
_147,202.201532,-61.705321,0.0,top
_146,198.391532,-61.705321,0.0,top
_145,200.296532,-61.705321,0.0,top
_144,206.646532,-61.705321,0.0,top
_143,206.646532,-59.800321,0.0,top
_142,209.186532,-61.705321,0.0,top
_141,214.266532,-61.705321,0.0,top
_140,216.806532,-61.705321,0.0,top
_139,219.346532,-61.705321,0.0,top
_138,219.346532,-59.800321,0.0,top
_137,219.346532,-57.895321,0.0,top
_136,219.346532,-55.990321,0.0,top
_135,216.806532,-55.990321,0.0,top
_134,214.266532,-55.990321,0.0,top
_133,214.266532,-57.895321,0.0,top
_132,211.726532,-57.895321,0.0,top
_131,209.186532,-57.895321,0.0,top
_130,204.106532,-59.800321,0.0,top
_129,202.201532,-59.800321,0.0,top
_128,200.296532,-59.800321,0.0,top
_127,198.391532,-59.800321,0.0,top
_126,198.391532,-57.895321,0.0,top
_125,196.486532,-57.895321,0.0,top
_124,199.661532,-44.560321,0.0,top
_123,196.486532,-59.800321,0.0,top
_122,199.661532,-42.655321,0.0,top
_121,196.486532,-40.750321,0.0,top
_120,201.566532,-40.750321,0.0,top
_119,178.706532,-40.750321,0.0,top
_118,173.626532,-42.655321,0.0,top
_117,176.166532,-42.655321,0.0,top
_116,176.166532,-59.800321,0.0,top
_115,173.626532,-59.800321,0.0,top
_114,171.086532,-61.705321,0.0,top
_113,178.706532,-61.705321,0.0,top
_112,176.166532,-61.705321,0.0,top
_111,173.626532,-61.705321,0.0,top
_110,181.246532,-45.830321,0.0,top
_109,197.756532,-44.560321,0.0,top
_108,192.041532,-44.560321,0.0,top
_107,190.136532,-44.560321,0.0,top
_106,183.151532,-45.830321,0.0,top
_105,171.086532,-40.750321,0.0,top
_104,176.166532,-40.750321,0.0,top
_103,173.626532,-40.750321,0.0,top
_102,183.151532,-56.625321,0.0,top
_101,181.246532,-56.625321,0.0,top
_100,201.566532,-42.655321,0.0,top
_99,204.106532,-42.655321,0.0,top
_98,206.646532,-42.655321,0.0,top
_97,216.806532,-46.465321,0.0,top
_96,214.266532,-46.465321,0.0,top
_95,214.266532,-44.560321,0.0,top
_94,211.726532,-44.560321,0.0,top
_93,211.726532,-42.655321,0.0,top
_92,211.726532,-40.750321,0.0,top
_91,209.186532,-40.750321,0.0,top
_90,206.646532,-40.750321,0.0,top
_89,195.851532,-44.560321,0.0,top
_88,190.771532,-57.895321,0.0,top
_87,192.676532,-57.895321,0.0,top
_86,194.581532,-57.895321,0.0,top
_85,166.641532,-42.020321,0.0,top
_84,172.356532,-55.355321,0.0,top
_83,170.451532,-45.830321,0.0,top
_82,172.356532,-47.735321,0.0,top
_81,170.451532,-47.735321,0.0,top
_80,170.451532,-49.640321,0.0,top
_79,170.451532,-51.545321,0.0,top
_78,170.451532,-53.450321,0.0,top
_77,170.451532,-55.355321,0.0,top
_76,170.451532,-57.260321,0.0,top
_75,166.641532,-61.070321,0.0,top
_74,166.641532,-43.925321,0.0,top
_73,166.641532,-47.735321,0.0,top
_72,166.641532,-49.640321,0.0,top
_71,166.641532,-51.545321,0.0,top
_70,166.641532,-53.450321,0.0,top
_69,166.641532,-55.355321,0.0,top
_68,166.641532,-57.260321,0.0,top
_67,166.641532,-59.165321,0.0,top
_66,168.546532,-59.165321,0.0,top
_65,168.546532,-57.260321,0.0,top
_64,168.546532,-55.355321,0.0,top
_63,168.546532,-53.450321,0.0,top
_62,168.546532,-51.545321,0.0,top
_61,168.546532,-49.640321,0.0,top
_60,168.546532,-47.735321,0.0,top
_59,168.546532,-45.830321,0.0,top
_58,166.641532,-45.830321,0.0,top
_57,219.346532,-40.750321,0.0,top
_56,219.346532,-42.655321,0.0,top
_55,216.806532,-40.750321,0.0,top
_54,214.266532,-40.750321,0.0,top
_53,219.346532,-44.560321,0.0,top
_52,216.806532,-44.560321,0.0,top
