pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
155.191253,-86.995001,0.0,top,J1,,,HEE70LP03BK_NumberedPads_CardGuide,BOT_RAIL_POS,smt
134.998253,-69.088001,0.0,top,J1,,,PinHeader_1x1_Smallest,BOT_RAIL_POS,smt
196.466253,-85.318601,0.0,top,J12,,,SideConnect_short_right_Drawing,Conn_02x03_Top_Bottom,smt
113.916253,-85.217001,0.0,top,J13,,,SideConnect_short_left_Drawing,Conn_02x03_Top_Bottom,smt
175.384253,-69.088001,0.0,top,J2,,,PinHeader_1x1_Smallest,TOP_RAIL_POS,smt
133.474253,-69.088001,0.0,top,J3,,,PinHeader_1x1_Smallest,BOT_RAIL_NEG,smt
176.908253,-69.088001,0.0,top,J4,,,PinHeader_1x1_Smallest,TOP_RAIL_NEG,smt
155.191253,-69.088001,0.0,top,J5,,,PinHeader_1x1_Smallest,CENTER,smt
190.624253,-143.002001,0.0,top,J6,,,SideConnect_sparserrr_Bottom_drawing,LED_GND,smt
180.784035,-44.008,0.0,bottom,JP10,,,SolderJumper_2_Bridged_Small,JMP,smt
180.784035,-51.628,0.0,bottom,JP11,,,SolderJumper_2_Bridged_Small,JMP,smt
180.784035,-52.898,0.0,bottom,JP12,,,SolderJumper_2_Bridged_Small,JMP,smt
180.784035,-50.357999,0.0,bottom,JP5,,,SolderJumper_2_Bridged_Small,JMP,smt
180.784035,-49.088,0.0,bottom,JP6,,,SolderJumper_2_Bridged_Small,JMP,smt
180.784035,-47.80802,0.0,bottom,JP7,,,SolderJumper_2_Bridged_Small,JMP,smt
180.784035,-46.53802,0.0,bottom,JP8,,,SolderJumper_2_Bridged_Small,JMP,smt
180.784035,-45.26802,0.0,bottom,JP9,,,SolderJumper_2_Bridged_Small,JMP,smt
195.196253,-49.723,-90.0,top,TP10,,,Conn_1x1_clipLeads,TestPoint,tht
193.926253,-44.00301,-90.0,top,TP2,,,Banana_Plus,TestPoint,tht
116.456253,-44.008,90.0,top,TP3,,,Banana_Plus,TestPoint,tht
116.456253,-52.898,90.0,top,TP4,,,Banana_Minus,TestPoint,tht
195.196253,-47.183,-90.0,top,TP6,,,Conn_1x1_clipLeads,TestPoint,tht
115.186253,-49.723,90.0,top,TP7,,,Conn_1x1_clipLeads,TestPoint,tht
115.186253,-47.183,90.0,top,TP8,,,Conn_1x1_clipLeads,TestPoint,tht
193.926507,-52.898,-90.0,top,TP9,,,Banana_Minus,TestPoint,tht
185.681253,-27.993,0.0,top,U3,,,SideConnect_sparserrr_Top,~,smt
180.591253,-76.327001,0.0,top,U4,,,HEE70LP03BK_CardSide,~,smt
155.191253,-48.453,0.0,top,U5,,,Conn_2x30_breadboard_double_WS,~,smt
155.191253,-48.453,90.0,top,U9,,,P0.40_HC-PBB40C-70DS-0.4V-3.0-02_wscob,~,smt
