Designator,Mid X,Mid Y,Rotation,Layer
J1_2,155.191253,-86.995001,0.0,top
J1,134.998253,-69.088001,0.0,top
J12,196.466253,-85.318601,0.0,top
J13,113.916253,-85.217001,0.0,top
J2,175.384253,-69.088001,0.0,top
J3,133.474253,-69.088001,0.0,top
J4,176.908253,-69.088001,0.0,top
J5,155.191253,-69.088001,0.0,top
J6,190.624253,-143.002001,0.0,top
JP10,180.784035,-44.008,180.0,bottom
JP11,180.784035,-51.628,180.0,bottom
JP12,180.784035,-52.898,180.0,bottom
JP5,180.784035,-50.357999,180.0,bottom
JP6,180.784035,-49.088,180.0,bottom
JP7,180.784035,-47.80802,180.0,bottom
JP8,180.784035,-46.53802,180.0,bottom
JP9,180.784035,-45.26802,180.0,bottom
TP10,194.611775,-49.71116,270.0,top
TP2,192.341124,-44.00301,270.0,top
TP3,118.041381,-44.008,90.0,top
TP4,118.041636,-52.898,90.0,top
TP6,194.611775,-47.17116,270.0,top
TP7,115.77073,-49.73484,90.0,top
TP8,115.77073,-47.19484,90.0,top
TP9,192.341124,-52.898,270.0,top
U3,185.671253,-28.672486,0.0,top
U4,180.591253,-76.327001,0.0,top
U5,155.191253,-48.453,0.0,top
U9,155.191253,-48.453,90.0,top
