Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D7, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90",LED_WS2812B-2020_PLCC4_2.0x2.0mm,80,WS2812B,
"J1, J10",PINHEADER_1x30_2.54mm_BOTTOM,2,Conn_01x30_Socket,
J11,Breadboard_CustomClips_Fallback,1,Connector_Breadboard,
J12,TQFP_12-56-0.5mm_pitch,1,Conn_02x32_Top_Bottom,
J13,TQFP_32-64_0.8mm,1,Conn_02x32_Top_Bottom,
J14,QFN-44-56_0.4mm,1,Conn_02x32_Top_Bottom,
J15,SO UNIVERSAL,1,Conn_02x30_Top_Bottom,
J16,TQFP_12-48_0.65mm,1,Conn_02x32_Top_Bottom,
"J17, J18",PINHEADER_1x30_lemons_unlemoned,2,Conn_01x30_Socket,
"J2, J3, J4, J7, J8, J9",PinHeader_1x30_P2.54mm_Vertical_Lemons,6,Conn_01x30_Socket,
"J5, J6",PINHEADER_1X30_2.54mm_lemons_TOP,2,Conn_01x30_Socket,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,POS_TOP_BOTTOM,
JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,NEG_TOP_BOTTOM,
TP15,PinHeader_1x01_P2.54mm_Vertical_Rounded,1,LED DOUT,
"TP16, TP17",PinHeader_1x01_P2.54mm_Vertical_Rounded,2,LED DIN,
"TP18, TP21, TP22",PinHeader_1x01_P2.54mm_Vertical_Rounded,3,LED 5V,
"TP19, TP20, TP23",PinHeader_1x01_P2.54mm_Vertical_Rounded,3,LED GND,
"TP24, TP25",PinHeader_1x01_P2.54mm_Vertical_Rounded,2,TOP_POS_RAIL,
"TP26, TP27",PinHeader_1x01_P2.54mm_Vertical_Rounded,2,TOP_NEG_RAIL,
"TP28, TP29",PinHeader_1x01_P2.54mm_Vertical_Rounded,2,BOTTOM_POS_RAIL,
"TP30, TP31",PinHeader_1x01_P2.54mm_Vertical_Rounded,2,BOTTOM_NEG_RAIL,
