Ref,Val,Package,PosX,PosY,Rot,Side
"C2","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",49.139599,-33.823400,-90.000000,bottom
"C3","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",114.650099,-41.443400,0.000000,bottom
"C4","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",113.147599,-55.667400,0.000000,bottom
"C5","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",69.951600,-30.902400,90.000000,bottom
"C6","27p","C_0402_1005Metric",114.445599,-52.238400,0.000000,bottom
"C7","27p","C_0402_1005Metric",114.445599,-45.253400,180.000000,bottom
"C8","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",54.219599,-33.823400,90.000000,bottom
"C9","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",111.115599,-41.443400,0.000000,bottom
"C10","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",114.671599,-42.967400,0.000000,bottom
"C11","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",99.939599,-54.143400,-90.000000,bottom
"C12","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",99.939599,-43.475400,90.000000,bottom
"C13","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",51.679599,-33.823400,-90.000000,bottom
"C14","27p","C_0402_1005Metric",75.384600,-36.933400,180.000000,bottom
"C15","27p","C_0402_1005Metric",76.416599,-38.903400,180.000000,bottom
"C16","27p","C_0402_1005Metric",76.416599,-40.873400,180.000000,bottom
"C17","27p","C_0402_1005Metric",75.384600,-42.843400,180.000000,bottom
"C18","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",51.425599,-55.921400,0.000000,bottom
"C19","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",51.425599,-48.301399,0.000000,bottom
"C20","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",51.425599,-52.111400,0.000000,bottom
"C21","2.2uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",65.903599,-30.902400,90.000000,bottom
"C22","2.2uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",67.919600,-30.902400,90.000000,bottom
"C23","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",51.425599,-54.016399,0.000000,bottom
"C25","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",51.425599,-50.206400,0.000000,bottom
"J2","Debug","PinHeader_1x03_P2.54mm_Vertical",104.130599,-57.318400,-90.000000,bottom
"J3","Power","PinHeader_1x05_P2.54mm_Vertical",38.725599,-26.838400,-90.000000,bottom
"R4","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",114.655599,-38.903400,0.000000,bottom
"R5","47K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",37.301522,-51.249477,135.000000,bottom
"R6","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",42.204560,-55.998439,135.000000,bottom
"R7","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",114.290599,-54.143400,0.000000,bottom
"R27","2.2K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",48.250599,-44.618400,0.000000,bottom
"R28","0R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",48.250599,-42.078400,0.000000,bottom
"R29","47K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",42.689676,-45.861323,135.000000,bottom
"R30","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",47.592714,-50.610285,135.000000,bottom
"R31","47K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",39.995599,-48.555400,135.000000,bottom
"R32","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",44.898637,-53.304362,135.000000,bottom
"R33","47K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",38.648561,-49.902438,135.000000,bottom
"R34","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",43.551599,-54.651400,135.000000,bottom
"R37","47K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",41.342637,-47.208362,135.000000,bottom
"R38","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",46.245675,-51.957324,135.000000,bottom
"SW1","USB BOOT","SW_SPST_TL3342",110.353599,-31.537400,135.000000,bottom
"TP5","Y3_A","TestPoint_D0.75mm",83.770599,-31.943084,0.000000,bottom
"TP10","Y0_A","TestPoint_D0.75mm",83.769200,-29.378400,0.000000,bottom
"TP11","Y0_B","TestPoint_D0.75mm",86.310599,-29.403084,0.000000,bottom
"TP12","Y0_C","TestPoint_D0.75mm",88.810599,-29.403084,0.000000,bottom
"TP14","Y3_B","TestPoint_D0.75mm",86.310599,-31.943084,0.000000,bottom
"TP15","Y3_C","TestPoint_D0.75mm",88.850599,-31.943084,0.000000,bottom
"TP21","LED_IN","TestPoint_D0.75mm",48.250599,-57.318400,-90.000000,bottom
"U1","LM324","SOIC-14_3.9x8.7mm_P1.27mm",83.094600,-39.538400,-90.000000,bottom
"U2","LM324","SOIC-14_3.9x8.7mm_P1.27mm",67.919600,-39.603400,-90.000000,bottom
"U3","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",43.170599,-32.553400,90.000000,bottom
"U6","AK4619VN","AK4619VN_AKM",75.289600,-31.526600,180.000000,bottom
"U8","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",97.780599,-30.013400,180.000000,bottom
"Y1","ABLS-12.000MHZ-B4-T","Crystal_SMD_3225-4Pin_3.2x2.5mm",114.460599,-48.643400,90.000000,bottom
