Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,10u,
"C10, C11, C12, C3, C4, C5, C9",0603,7,1u,
"C13, C8",0805,2,10uF,
"C14, C15, C16, C17, C6, C7",0402,6,27p,
"C18, C19, C20, C23, C25",0603,5,0.1uF,
"C21, C22",0805,2,2.2uF,
J1,USB_Mini-B_Wuerth_65100516121_Horizontal,1,USB_B_Mini,
J2,PinHeader_1x03_P2.54mm_Vertical,1,Debug,
J3,PinHeader_1x05_P2.54mm_Vertical,1,Power,
J5,PinHeader_1x04_P2.54mm_Vertical,1,I2C_OLED_Display,
J6,HEE70LP03BK_Daughter_Penis_Top,1,Conn_02x35_JumperluxCardEdge,
J7,HEE70LP03BK_Daughter_Penis,1,Conn_02x35_JumperluxCardEdge,
"JP1, JP6",SolderJumper_2_Open_Small,2,Power_From_Breadboard,
"JP2, JP3, JP4, JP5",SolderJumper-3_P1.3mm_Bridged2Bar12_RoundedPad1.0x1.5mm,4,SolderJumper_3_Bridged12,
JP7,SolderJumper_2_Bridged_Small,1,SolderJumper_2_Bridged,
"R1, R2",0402,2,22R,
"R10, R12, R14, R16",0805,4,270K,
"R11, R13, R15, R17",0805,4,39K,
"R18, R20, R29, R31, R33, R37, R5, R8",0805,8,47K,
"R19, R21, R22, R23, R24, R25, R26, R3, R9",0805,9,22K,
"R27, R35, R36, R39, R40, R41, R42",0805,7,2.2K,
R28,0805,1,0R,
"R30, R32, R34, R38, R6",0805,5,10K,
"R4, R7",0603,2,1k,
SW1,SW_SPST_TL3342,1,USB BOOT,
TP1,TestPoint_D0.75mm,1,AOUT2R,
TP10,TestPoint_D0.75mm,1,Y0_A,
TP11,TestPoint_D0.75mm,1,Y0_B,
TP12,TestPoint_D0.75mm,1,Y0_C,
TP13,PINHEADER-1x1_vertical,1,Voltage_Probe,
TP14,TestPoint_D0.75mm,1,Y3_B,
TP15,TestPoint_D0.75mm,1,Y3_C,
TP16,TestPoint_D0.75mm,1,GPIO_2,
TP2,TestPoint_D0.75mm,1,AOUT2L,
TP21,TestPoint_D0.75mm,1,LED_IN,
TP3,TestPoint_D0.75mm,1,AOUT1R,
TP4,TestPoint_D0.75mm,1,AOUT1L,
TP5,TestPoint_D0.75mm,1,Y3_A,
TP6,PINHEADER-1x1_vertical,1,Select_Probe,
TP7,PINHEADER-1x1_vertical,1,Button_Probe,
"U1, U2",SOIC-14_3.9x8.7mm_P1.27mm,2,LM324,
"U12, U5",QA503C,2,QA503C,
"U13, U14, U15",LQFP44_Tight,3,CH446X,
U3,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U4,Directional_Switch_SKRHADE010,1,SKRHAD010,
U6,AK4619VN_AKM,1,AK4619VN,
U8,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U9,RP2040-QFN-56,1,RP2040,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABLS-12.000MHZ-B4-T,
