Designator,Mid X,Mid Y,Rotation,Layer
C1,114.3508,-38.9034,0.0,top
C10,114.671599,-42.9674,180.0,bottom
C11,99.939599,-54.1434,270.0,bottom
C12,99.939599,-43.4754,90.0,bottom
C13,51.679599,-33.8234,270.0,bottom
C14,75.3846,-36.9334,0.0,bottom
C15,76.416599,-38.9034,0.0,bottom
C16,76.416599,-40.8734,0.0,bottom
C17,75.3846,-42.8434,0.0,bottom
C18,51.425599,-55.9214,180.0,bottom
C19,51.425599,-48.301399,180.0,bottom
C2,49.139599,-33.8234,270.0,bottom
C20,51.425599,-52.1114,180.0,bottom
C21,65.903599,-30.9024,90.0,bottom
C22,67.9196,-30.9024,90.0,bottom
C23,51.425599,-54.016399,180.0,bottom
C25,51.425599,-50.2064,180.0,bottom
C3,114.650099,-41.4434,180.0,bottom
C4,113.147599,-55.6674,180.0,bottom
C5,69.9516,-30.9024,90.0,bottom
C6,114.445599,-52.2384,180.0,bottom
C7,114.445599,-45.2534,0.0,bottom
C8,54.219599,-33.8234,90.0,bottom
C9,111.115599,-41.4434,180.0,bottom
J1,109.838823,-31.990177,135.0,top
J2,106.655599,-57.3184,270.0,bottom
J3,43.800599,-26.8384,270.0,bottom
J5,58.410599,-34.4484,0.0,top
J6,75.530199,-23.6634,0.0,top
J7,75.555599,-60.0362,0.0,top
JP1,50.612799,-53.3741,0.0,top
JP6,50.612799,-55.1521,0.0,top
JP7,50.612799,-56.9301,0.0,top
R1,106.543599,-39.3219,270.0,top
R10,82.1436,-40.0624,90.0,top
R11,82.1436,-35.9664,90.0,top
R12,84.1756,-40.0464,90.0,top
R13,84.1756,-35.9824,90.0,top
R14,86.2076,-40.0464,90.0,top
R15,86.2076,-35.9824,90.0,top
R16,88.2396,-40.0464,90.0,top
R17,88.2396,-35.9824,90.0,top
R18,67.9196,-35.4904,90.0,top
R19,67.9196,-31.0454,90.0,top
R2,107.559599,-39.3219,270.0,top
R20,63.8556,-35.4904,90.0,top
R21,63.8556,-31.0454,90.0,top
R22,74.539599,-40.0304,270.0,top
R23,72.507599,-40.0304,270.0,top
R24,76.571599,-40.0304,270.0,top
R25,63.8556,-40.0304,90.0,top
R26,67.9196,-40.0464,90.0,top
R27,48.250599,-44.6184,180.0,bottom
R28,48.250599,-42.0784,180.0,bottom
R29,42.689676,-45.861323,45.0,bottom
R3,65.8876,-40.0304,90.0,top
R30,47.592714,-50.610285,45.0,bottom
R31,39.995599,-48.5554,45.0,bottom
R32,44.898637,-53.304362,45.0,bottom
R33,38.648561,-49.902438,45.0,bottom
R34,43.551599,-54.6514,45.0,bottom
R35,93.970599,-40.1734,270.0,top
R36,92.065599,-40.1734,270.0,top
R37,41.342637,-47.208362,45.0,bottom
R38,46.245675,-51.957324,45.0,bottom
R39,88.255599,-30.6484,90.0,top
R4,114.655599,-38.9034,180.0,bottom
R40,86.350599,-30.6484,90.0,top
R41,84.445599,-30.6484,90.0,top
R42,82.540599,-30.6484,90.0,top
R5,37.301522,-51.249477,45.0,bottom
R6,42.20456,-55.998439,45.0,bottom
R7,114.290599,-54.1434,180.0,bottom
R8,65.8876,-35.4904,90.0,top
R9,65.8876,-31.0454,90.0,top
SW1,110.353599,-31.5374,45.0,bottom
TP1,105.970915,-26.2034,270.0,top
TP10,83.7692,-29.3784,180.0,bottom
TP11,86.310599,-29.403084,180.0,bottom
TP12,88.810599,-29.403084,180.0,bottom
TP13,35.550599,-41.4834,90.0,top
TP14,86.310599,-31.943084,180.0,bottom
TP15,88.850599,-31.943084,180.0,bottom
TP16,115.687599,-55.0578,90.0,top
TP2,103.390915,-26.2034,270.0,top
TP21,48.250599,-57.3184,270.0,bottom
TP3,100.890915,-26.2034,270.0,top
TP4,98.415599,-26.2034,270.0,top
TP5,83.770599,-31.943084,180.0,bottom
TP6,35.550599,-46.5234,90.0,top
TP7,35.550599,-43.9834,90.0,top
U1,83.0946,-39.5384,180.0,bottom
U12,44.440599,-38.2684,0.0,top
U13,60.950599,-50.3334,0.0,top
U14,75.946999,-50.3334,0.0,top
U15,90.795599,-50.3334,0.0,top
U2,67.9196,-39.6034,180.0,bottom
U3,43.170599,-32.5534,270.0,bottom
U4,42.408599,-50.9684,0.0,top
U5,44.415199,-29.4038,0.0,top
U6,75.2896,-31.5266,0.0,bottom
U8,97.780599,-30.0134,270.0,bottom
U9,106.665599,-48.4334,0.0,top
Y1,114.460599,-48.6434,90.0,bottom
