Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,27p,
"C10, C11, C12, C13, C14, C15, C16",0603,7,0.1uF,
"C3, C5, C7, C9",0603,4,1u,
"C4, C6",0805,2,10u,
"D2, D3, D4, D5, D6, D7, D8, D9",LED_PLCC-2_3x2mm_AK,8,LED,
J1,USB_Mini-B_Wuerth_65100516121_Horizontal,1,USB_B_Mini,
J2,PinHeader_1x03_P2.54mm_Vertical,1,Debug,
J3,HEE70LP03BK_Daughter_Penis_Top,1,Conn_02x35_JumperluxCardEdge,
J4,HEE70LP03BK_Daughter_Penis,1,Conn_02x35_JumperluxCardEdge,
JP1,SolderJumper_2_Bridged_Small,1,SolderJumper_2_Bridged,
"JP2, JP3",SolderJumper_2_Open_Small,2,Power_From_Breadboard,
"R1, R10, R11, R12, R2, R5, R6, R7, R8, R9",0603,10,1k,
"R13, R21, R22, R23, R24, R25, R26",0603,7,47K,
"R14, R15, R16, R17, R18, R19, R20",0603,7,10K,
"R3, R4",0402,2,22R,
SW1,Tact_Switch_TS24CA,1,USB BOOT,
SW3,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,Select Row,
"SW4, SW5, SW6, SW7, SW8, SW9",SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,6,SW_Push,
"TP1, TP10, TP11, TP12, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,12,TestPoint,
"TP13, TP14",TestPoint_D0.75mm,2,TestPoint,
U1,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U3,RP2040-QFN-56,1,RP2040,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABLS-12.000MHZ-B4-T,
