Designator,Mid X,Mid Y,Rotation,Layer
J1,191.675,-122.75,0.0,top
J11,191.675,-151.3504,0.0,top
J12,232.95,-121.0736,0.0,top
J13,150.4,-120.972,0.0,top
J14,159.29,-123.6644,180.0,bottom
J15,191.675,-124.8074,270.0,bottom
J2,152.305,-133.7302,90.0,top
J3,231.045,-133.7302,90.0,top
J4,231.045,-169.2902,90.0,top
J5,152.305,-169.2902,90.0,top
J6,227.108,-178.757,0.0,top
JP10,231.7808,-121.29588,0.0,top
JP3,151.083,-118.432,180.0,bottom
JP4,151.6685,-120.670085,180.0,bottom
JP5,151.67,-123.080876,180.0,bottom
JP6,151.67,-120.66728,180.0,top
JP7,231.7808,-118.98448,0.0,bottom
JP8,231.7808,-121.29588,0.0,bottom
JP9,232.365,-123.60728,0.0,bottom
TP16,159.29,-121.5054,0.0,top
TP18,157.131,-123.6644,180.0,bottom
TP19,161.449,-123.6644,180.0,bottom
TP24,154.591,-119.3464,0.0,top
TP25,218.98,-117.924,90.0,top
TP26,163.989,-119.346655,0.0,top
TP27,229.14,-117.924,90.0,top
TP29,218.980001,-120.464,90.0,top
TP31,229.14,-120.464,90.0,top
