Designator,Mid X,Mid Y,Rotation,Layer
_8,155.211532,-39.480342,0.0,top
_7,230.141532,-73.770342,0.0,top
_6,151.401532,-73.770321,0.0,top
_5,230.141532,-39.480342,0.0,top
_4,151.401532,-39.480321,0.0,top
_3,76.471532,-39.480321,0.0,top
_2,76.471532,-73.770321,0.0,top
,155.211532,-73.770342,0.0,top
J1_4,134.129532,-84.311322,0.0,top
J1_3,113.936532,-102.218322,0.0,top
J1_2,192.676532,-102.218343,0.0,top
J1,212.869532,-84.311343,0.0,top
J11_2,113.936532,-71.865593,0.0,top
J11,192.676532,-71.865614,0.0,top
J13_2,151.401532,-100.440343,0.0,top
J13,72.661532,-100.440322,0.0,top
J18_2,113.936532,-56.620593,0.0,top
J18,192.676532,-56.620614,0.0,top
J2_2,214.393532,-84.311343,0.0,top
J2,135.653532,-84.311322,0.0,top
J3_2,172.483532,-84.311343,0.0,top
J3,93.743532,-84.311322,0.0,top
J4_2,92.219532,-84.311322,0.0,top
J4,170.959532,-84.311343,0.0,top
J5_2,192.676532,-84.311343,0.0,top
J5,113.936532,-84.311322,0.0,top
J6_2,228.109532,-155.032901,0.0,top
J6,149.369532,-155.03288,0.0,top
U1_2,139.336532,-91.550322,0.0,top
U1,218.076532,-91.550343,0.0,top
