Designator,Mid X,Mid Y,Rotation,Layer
_12,115.841371,-36.938992,0.0,top
_11,114.317532,-29.193321,35.0,top
_10,189.501532,-36.938992,0.0,top
_9,191.152532,-29.193321,145.0,top
_8,191.09673,-82.787319,215.0,top
_7,189.50294,-75.038992,0.0,top
_6,114.19823,-82.915721,145.0,top
_5,115.841532,-75.038992,0.0,top
_4,114.190532,-82.914321,215.0,bottom
_3,191.152532,-29.193321,35.0,bottom
_2,114.317532,-29.193321,325.0,bottom
,191.09673,-82.787321,325.0,bottom
J11,152.671371,-71.23077,0.0,top
J18,152.671371,-55.98577,0.0,top
